Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,name_length,address_length
216,23,164,-91.6499622,42.0215347,995,25,0,0,2,4.2,186,14,45
216,23,164,-91.7266,41.9639,587,10,0,0,1,4.2,220,20,40
216,23,164,-91.6394,42.0468,497,10,0,0,1,4.2,347,18,40
216,23,220,-91.569767,41.670466,78,25,0,0,2,3.8,161,8,36
216,23,220,-91.5687,41.6685,995,25,0,0,2,4.1,160,12,33
216,23,466,-91.534424,41.660982,294,10,0,0,1,4.9,820,23,36
216,23,466,-91.531414,41.663849,22,10,0,0,1,4.5,488,26,34
216,23,466,-91.531093,41.663751,274,25,0,0,2,3.6,253,14,36
216,23,466,-91.534302,41.658691,68,40,0,0,3,3.8,220,5,40
216,23,466,-91.5314,41.6648,1618,25,0,0,2,4.3,485,21,41
216,23,466,-91.5341,41.661,1022,40,0,0,3,4.3,428,17,33
216,23,466,-91.482165,41.667742,21,25,0,0,2,4.1,294,10,42
216,23,466,-91.5318,41.6625,1210,40,0,0,3,4.0,380,7,34
216,23,466,-91.5074,41.6428,168,25,0,0,2,4.2,259,22,44
216,23,646,-91.5995,42.0331,1639,25,0,0,2,4.7,433,14,29
37,25,181,-82.188438,42.397683,1126,25,0,0,2,3.7,176,11,40
216,27,207,-123.368151,46.126967,23,10,0,0,1,4.3,96,22,31
216,28,210,-114.472474,51.183934,137,25,0,0,2,3.1,6,20,48
216,31,213,-84.992671,32.470315,159,10,0,0,1,3.3,33,22,33
216,31,213,-84.95591,32.519247,95,25,0,0,2,4.6,489,26,40
216,31,213,-84.927047,32.555591,6,25,0,0,2,4.5,345,18,34
216,31,213,-84.9436,32.5577,301,25,0,0,2,3.8,149,11,38
216,31,213,-84.9936,32.4656,1619,25,0,0,2,3.9,330,14,33
216,31,213,-84.954984,32.5382197,1124,40,0,0,3,3.9,247,25,38
216,31,213,-84.9876,32.4637,276,10,0,0,1,3.7,123,28,40
216,31,213,-84.9933631,32.4652417,1125,40,0,0,3,3.6,109,36,33
216,31,213,-84.96661,32.534002,1130,40,0,0,3,3.7,134,21,40
216,31,213,-84.95367,32.513154,1692,40,0,0,3,4.2,722,22,34
216,31,213,-84.947569,32.504657,1743,25,0,0,2,4.3,213,32,40
216,31,213,-84.9607,32.5393,497,25,0,0,2,4.0,335,28,40
216,31,213,-84.9464,32.4792,176,25,0,0,2,4.0,353,18,35
216,31,213,-84.9427,32.481,1098,0,0,0,1,4.0,170,8,41
216,31,213,-84.9557,32.5321,1618,25,0,0,2,4.1,192,15,38
216,31,213,-84.992093,32.466158,103,40,0,0,3,4.1,302,8,32
216,31,213,-84.938698,32.560905,121,10,0,0,1,4.2,355,28,42
216,31,213,-84.991384,32.468757,6,25,0,0,2,4.3,287,13,33
216,31,213,-84.963201,32.527217,1079,40,0,0,3,4.0,264,10,39
216,31,394,-85.0213,32.7455,98,40,0,0,3,4.4,235,12,36
37,32,218,-110.7746994,52.0082889,508,25,0,0,2,3.0,6,18,37
216,33,156,-84.9396931,34.5251331,15,25,0,0,2,3.7,38,29,33
216,33,156,-84.926258,34.474635,785,10,0,0,1,4.4,122,27,37
